Department,CourseNumber,Prerequisites
ECON,483,To be determined by the instructor subject to approval by the department chair.
ECON,484,To be determined by the instructor subject to approval by the department chair.
ECON,494,"ECON 302, 305 and ECON (or BUEC) 333, all with a minimum grade of C-. A minimum CGPA of 3.0."
ECON,498,"ECON 201 and ECON 305, all with a minimum grade of C- and permission of the undergraduate chair of the department."
EDUC,199,
EDUC,211,"Students who have credit for MATH 150, MATH 151, MATH 154, MATH 157 need permission of the instructor to participate in EDUC 211 and EDUC 212."
EDUC,212,"Students who have credit for MATH 150, MATH 151, MATH 154, MATH 157 need permission of the instructor to participate in EDUC 211 and EDUC 212."
EDUC,220,
EDUC,222,
EDUC,230,
EDUC,240,
EDUC,250,
EDUC,252,
EDUC,311,60 units.
EDUC,313,EDUC 401/402 or corequisite EDUC 403.
EDUC,315,EDUC 220 or PSYC 250 or LING 100. Students may be required to successfully complete a Criminal Record Check.
EDUC,320,EDUC 220.
EDUC,322,EDUC 220 or PSYC 250.
EDUC,323,60 units including EDUC 220.
EDUC,324,EDUC 220 or PSYC 250 and 60 units.
EDUC,325,EDUC 220.
EDUC,326,"One of EDUC 100, 220, 230, or 240; or EDUC 401/402, or corequisite EDUC 403."
EDUC,327,"60 units, including EDUC 220."
EDUC,328,EDUC 220 or EDUC 401/402 or corequisite EDUC 403.
EDUC,330,60 units including six units in EDUC courses.
EDUC,341,60 units including three units in EDUC courses.
EDUC,355,60 units.
EDUC,358,60 units.
EDUC,359,60 units; or permission of instructor.
EDUC,370,"Completion of at least 60 units, including 3 units in Education."
EDUC,375,EDUC 401/402 or corequisite EDUC 403.
EDUC,376,
EDUC,380,FREN 301 or 304 or 370 or equivalent.
EDUC,382,60 units.
EDUC,388,
EDUC,398,Will be announced prior to the beginning of each term.
EDUC,400,Admission to Professional Programs and successful completion of a Criminal Record Check.
EDUC,403,EDUC 402. Students must successfully complete a Criminal Record Check.
EDUC,404,EDUC 401/402 or corequisite EDUC 403.
EDUC,405,EDUC 401/402 or EDUC 402/403. Students must successfully complete a Criminal Record Check.
EDUC,406,Permission will not be given to students without previous teaching experience. Students must successfully complete a Criminal Record Check.
EDUC,407,
EDUC,408,EDUC 402 and 407. Corequisite: EDUC 403. Students must successfully complete a Criminal Record Check.
EDUC,410,
EDUC,411,"One of MATH 152, 155 or 158. Corequisite: EDUC 415 or appropriate math background and permission of instructor."
EDUC,414,EDUC 401/402 or corequisite EDUC 403.
EDUC,415,"One of MATH 152, 155, or 158, and either EDUC 401/402 or corequisite EDUC 403."
EDUC,416,EDUC 401/402 or corequisite EDUC 403.
EDUC,422,PSYC 250 or corequisite of EDUC 315 or 473. Students may be required to successfully complete a Criminal Record Check.
EDUC,423,Or corequisite: EDUC 323.
EDUC,424,Prerequisite or corequisite: EDUC 422. Students must successfully complete a Criminal Record Check.
EDUC,426,"Students may be required to successfully complete a Criminal Record Check. 60 units including EDUC 220 or PSYC 250, or EDUC 401/402 or Corequsite: EDUC 403."
EDUC,430,EDUC 401/402 or corequisite EDUC 403.
EDUC,437,60 units including 3 units in Education.
EDUC,445,60 units.
EDUC,448,60 units including six in education courses. Teaching experience is recommended.
EDUC,452,EDUC 401W/402W or Corequisite: EDUC 403. Students may be required to successfully complete a Criminal Record Check.
EDUC,454,EDUC 401 and EDUC 402 or Corequisite: EDUC 403.
EDUC,457,EDUC 401/402 or corequisite EDUC 403.
EDUC,458,60 units.
EDUC,459,EDUC 401/402 or corequisite EDUC 403.
EDUC,464,EDUC 401/402 or PSYC 250 or corequisite EDUC 403.
EDUC,465,60 units.
EDUC,466,Corequisite: EDUC 464.
EDUC,467,"60 units plus one of the following: six units of EDUC course work; or completion of EDUC 401/402; or admission to the Certificate in Teaching ESL program, or co-requisite EDUC 403."
EDUC,468,60 units including 6 units in Education courses.
EDUC,469,60 units.
EDUC,471,60 units.
EDUC,472,EDUC 401/402 or corequisite EDUC 403.
EDUC,474,EDUC 401/402 or corequisite EDUC 403.
EDUC,475,EDUC 401/402 or corequisite EDUC 403. Students must successfully complete an SFU criminal records check.
EDUC,476,EDUC 401/402 or corequisite EDUC 403.
EDUC,477,EDUC 401/402 or corequisite EDUC 403.
EDUC,478,EDUC 401/402 or corequisite EDUC 403.
EDUC,480,EDUC 401/402 or corequisite EDUC 403.
EDUC,481,EDUC 401/402 (French Immersion) or corequisite EDUC 403.
EDUC,482,60 units.
EDUC,490,"60 units, consent of supervising faculty member, and approval of the director of undergraduate programs."
EDUC,491,"60 units, consent of supervising faculty member, and approval of the director of undergraduate programs."
ENGL,202,12 units or one 100-division English course.
ENGL,204,12 units or one 100-division English course.
ENGL,209,12 units or one 100-division English course.
ENGL,210,12 units or one 100-division English course.
ENGL,211,12 units or one 100-division English course.
ENGL,214,12 units or one 100-division English course.
ENGL,216,12 units or one 100-division English course.
ENGL,272,"ENGL 111W, 112W, 113W, 114W, or 115W; or WL 105W; or PUB 101."
ENGL,304,30 units or two 200-division English courses.
ENGL,312,30 units or two 200-division English courses.
ENGL,320,30 units or two 200-division English courses.
ENGL,330,30 units or two 200-division English courses.
ENGL,345,30 units or two 200-division English courses.
ENGL,355,30 units or two 200-division English courses.
ENGL,360,30 units or two 200-division English courses.
ENGL,361,30 units or two 200-division English courses. Students in the Global Asia Program Minor may enroll with permission of the instructor.
ENGL,362,30 units or two 200-division English courses.
ENGL,363,30 units or two 200-division English courses.
ENGL,364,30 units or two 200-division English courses. Recommended: ENGL 216.
ENGL,371,"30 units or two 200-division English courses. Recommended: One of English 199, 199W, or 214."
ENGL,372,30 units; or two 200-division English courses; or formal declaration in the creative writing minor and ENGL 272.
ENGL,374,30 units; or two 200-division English courses; or formal declaration in the creative writing minor and ENGL 272.
ENGL,375,"30 units or two 200-division English courses. Recommended: One of English 199, 199W, or 214."
ENGL,376,30 units or two 200-division English courses.
ENGL,383,30 units or two 200-division English courses.
ENGL,385,30 units or two 200-division English courses.
ENGL,387,30 units or two 200-division English courses.
ENGL,490,"Two 100-division English courses, two 200-division English courses and two 300-division English courses. Reserved for English honours, major, joint major and minor students. Admission is by permission of the instructor and the department."
ENGL,491,"Two 100-division English courses, two 200-division English courses and two 300-division English courses. Reserved for English honours, major, joint major and minor students. Admission is by permission of the instructor and the department."
ENGL,494,"Permission of the department, plus normally a minimum of 90 units, including credit or standing in two 100-division English courses, two 200-division English courses, and four 300 or 400-division English courses, one of which must be ENGL 364."
ENGL,496,"Lower division requirements for the English major. Open only to students who have been accepted into the English honours program, and who have completed ENGL 494."
ENSC,120,BC Pre-Calculus 12 and BC Physics 12 (or equivalents).
ENSC,151,"BC Math 12 (or equivalent, or any of MATH 100, 150, 151, 154, or 157, with a minimum grade of C-)."
ENSC,180,"(ENSC 151 or CMPT 120 or CMPT 130) and (MATH 151 or MATH 150), all with a minimum grade of C-. Corequisite: MATH 152 and MATH 232."
ENSC,194,
ENSC,195,
ENSC,196,
ENSC,204,
ENSC,220,"(PHYS 121 or PHYS 126 or PHYS 141), ENSC 120, MATH 232 and (MATH 260 or MATH 310), all with a minimum grade of C-. MATH 260 may be taken concurrently."
ENSC,225,"(ENSC 220 or MSE 250), MATH 232, and (MATH 260 or MATH 310), all with a minimum grade of C-."
ENSC,251,"ENSC 151 or CMPT 135 or (CMPT 125 and CMPT 127), all with a minimum grade of C-."
ENSC,252,"ENSC 151 or CMPT 125 or CMPT 126 or CMPT 135, with a minimum grade of C-. ENSC 252 is a required course for all engineering science majors and honours students (no course substitutions are permitted)."
ENSC,254,"ENSC 251 and ENSC 252, both with a minimum grade of C-."
ENSC,280,"((PHYS 121 and ENSC 120) or PHYS 141) and (MATH 251 and MATH 232), all with a minimum grade of C-. MATH 251 and/or MATH 232 may be taken concurrently with ENSC 280. Engineering Science Majors and Honours students are required to take ENSC 280 (no course substitutions will be accepted)."
ENSC,295,ENSC 195 or 196.
ENSC,296,ENSC 195 or 196 and approval of internship co-ordinator required.
ENSC,316,"MATH 251 and (ENSC 220 or MSE 250), all with a minimum grade of C-."
ENSC,320,"(ENSC 220 or MSE 250), MATH 232, and (MATH 260 or MATH 310), all with a minimum grade of C-."
ENSC,324,"(ENSC 220 or MSE 250), MATH 232, and (MATH 260 or MATH 310), all with a minimum grade of C-."
ENSC,325,"ENSC 225 or ENSC 226 or MSE 251, with a minimum grade of C-."
ENSC,327,"(ENSC 380 or MSE 280) and ENSC 280, all with a minimum grade of C-. Students who completed STAT 270 prior to Spring 2015 may use STAT 270 instead of ENSC 280."
ENSC,350,"(ENSC 215 and either ENSC 250 or CMPT 250) or (ENSC 252 and ENSC 254), all with a minimum grade of C-."
ENSC,351,"(ENSC 151 and ENSC 215 and ENSC 250) or ENSC 254 or (CMPT 225 and (CMPT 250 or CMPT 295)), all with a minimum grade of C- and a minimum of 60 units. ENSC 351 is a required course for all engineering science major and honours students (no course substitutions are permitted)."
ENSC,370,Completion of at least 25 units of engineering science (ENSC) courses.
ENSC,380,"ENSC 180, ENSC 220 (or MSE 250) and (MATH 260 or MATH 310), all with a minimum grade of C-."
ENSC,383,"ENSC 380 (or MSE 280), with a minimum grade of C-."
ENSC,385,"(PHYS 120 or PHYS 140) and MATH 152, all with a minimum grade of C-."
ENSC,386,"PHYS 120, (MATH 260 or MATH 310), and (ENSC 281 or ENSC 385), all with a minimum grade of C-."
ENSC,387,"ENSC 380 or MSE 280, with a minimum grade of C-."
ENSC,395,ENSC 295 or 296 and a minimum of 75 units.
ENSC,396,"ENSC 295 or 296, a minimum of 75 units and approval of internship co-ordinator required."
ENSC,403,A minimum of 100 units and permission of the chair of the undergraduate curriculum committee.
ENSC,406,"100 units including one of ENSC 100, ENSC 106, CMPT 106, or MSE 102, with a minimum grade of C-."
ENSC,410,A minimum of 80 units is required to enroll in this course.
ENSC,413,"MATH 251, ENSC 280, ENSC 351, ENSC 380, all with a minimum grade of B."
ENSC,416,"ENSC 316 and MATH 254, both with a minimum grade of C-."
ENSC,425,"ENSC 320, ENSC 325, (ENSC 380 or MSE 280), all with a minimum grade of C- and a minimum of 80 units."
ENSC,426,"Completion of 80 units including (ENSC 416 or PHYS 421) and ENSC 325, with a minimum grade of C-."
ENSC,427,ENSC 327 with a minimum grade of C-. A minimum of 80 units required.
ENSC,428,"(ENSC 380 or MSE 280 or SEE 341) and ENSC 280, all with a minimum grade of C-. Students who completed STAT 270 prior to Spring 2015 may use STAT 270 instead of ENSC 280."
ENSC,429,"(ENSC 327 or ENSC 328), (ENSC 380 or MSE 280), all with a minimum grade of C- and a minimum of 80 units."
ENSC,440,ENSC 405W with a minimum grade of C-. Students will be automatically enrolled in ENSC 440 in the term immediately following successful completion of ENSC 405W.
ENSC,450,"(ENSC 225 or MSE 251 or SEE 231) and ENSC 350, all with a minimum grade of C- and a minimum of 80 units."
ENSC,452,"ENSC 350 and 351, with a minimum grade of C- and a minimum of 80 units."
ENSC,453,"ENSC 350 and ENSC 351, both with a minimum grade of C-."
ENSC,461,To be determined by the instructor subject to approval by the department chair.
ENSC,470,"Completion of 80 units including (PHYS 121 or 126 or 141) and (MATH 260 or MATH 310), with a minimum grade of C-."
ENSC,474,((ENSC 180 and ENSC 251) or CMPT 225) with a minimum grade of C- and a minimum of 80 units.
ENSC,475,"(ENSC 225 or MSE 251), ENSC 320, (ENSC 380 or MSE 280), all with a minimum grade of C- and a minimum of 80 units. ENSC 380/MSE 280 can be taken concurrently."
ENSC,476,"Completion of 80 units including PHYS 121 or 102 or 141, with a minimum grade of C-. Recommended: ENSC 376 or 470."
ENSC,477,(ENSC 380 or MSE 280) with a minimum grade of C- and a minimum of 80 units.
ENSC,482,"MATH 232, MACM 316, (ENSC 280 or MSE 210 or PHYS 231), all with a minimum grade of C- and a minimum of 80 units."
ENSC,483,"ENSC 383 or MSE 381, with a minimum grade of C- and a minimum of 80 units."
ENSC,488,"(ENSC 230 or ENSC 386) and (ENSC 383 or MSE 381), all with a minimum grade of C- and 80 units."
ENSC,495,"ENSC 225 or MSE 251 or PHYS 365 or SEE 231, with a minimum grade of C- and permission of the instructor and a minimum of 80 units. Enrollment in this course is by application only."
ENSC,498,At least 115 units or permission of the academic supervisor.
ENSC,499,ENSC 498 with a minimum grade of P.
ENV,299,
ENV,302,Admission into Environment Co-operative Education Program.
ENV,303,"ARCH 350, ENV 302 or GEOG 302 and readmission into Environment Co-operative Education Program."
ENV,402,"ARCH 351, ENV 303 or GEOG 303 and readmission into Environment Co-operative Education Program."
ENV,403,"ARCH 450, ENV 402 or GEOG 402 and readmission into Environment Co-operative Education Program."
ENV,404,"ARCH 451, ENV 403 or GEOG 403 and readmission into Environment Co-operative Education Program."
EVSC,206,"One of EASC 101, EVSC 100, GEOG 111, GEOG 118, or REM 100. Prerequisite or Corequisite: One of BISC 101, BISC 102, CHEM 121, PHYS 101, or PHYS 120; or permission of the instructor."
EVSC,300,EVSC 201W.
EVSC,305,EVSC 100 and 50 units.
EVSC,320,"EVSC 100 or permission of the instructor and one of the following: BISC 204, REM 211, or GEOG 215."
EVSC,380,Acceptance in the environmental science co-operative education program.
EVSC,381,EVSC 380 and readmission to the environmental science co-operative education program.
EVSC,391,"60 units, 3.0 cumulative grade point average."
EVSC,395,
EVSC,400,EVSC 300 and EVSC 305.
EVSC,410,"One of EVSC 100, REM 100, EASC 100, or GEOG 111; and one of CHEM 122, PHYS 102, PHYS 121, or PHYS 141; and MATH 152 or MATH 155; or permission of the instructor. Recommended: GEOG 313."
EVSC,445,"GEOG 251, or one of STAT 100, 201, 203, 205 or 270 or permission of the instructor."
EVSC,460,GEOG 111 or EASC 101; BISC 204 or GEOG 215; and a minimum of 60 units. GEOG 213 is recommended.
EVSC,480,EVSC 381 and readmission to the environmental science co-operative education program.
EVSC,481,EVSC 480 and readmission to the environmental science co-operative education program.
EVSC,482,EVSC 481 and readmission to the environmental science co-operative education program.
EVSC,489,"EVSC 305, 90 units and consent of EVSC Director."
EVSC,491,"60 units, 3.0 cumulative grade point average."
FASS,121,Program approval.
FASS,201,Open only to students accepted to the FASS Co-op Program.
FASS,222,15 units.
FASS,223,15 units.
FASS,224,15 units.
FASS,225,15 units.
FASS,301,Open only to students accepted to the FASS Co-op Program.
FASS,302,Open only to students accepted to the FASS Co-op Program.
FASS,305,
FASS,401,Open only to students accepted to the FASS Co-op Program.
FASS,402,Open only to students accepted to the FASS Co-op Program.
FASS,499,"Open to FASS Undergraduate Student Fellows, who will be selected by the faculty."
FEP,200,
FEP,201,
FEP,202,
FEP,203,
FEP,204,
FEP,205,
FEP,206,
FEP,209,
FEP,221,
FEP,222,
FEP,224,
FEP,225,
FREN,101,
FREN,102,"FREN 101, FREN 120, or FREN 121 or consult with a French advisor."
FREN,120,Never studied or experienced French before.
FREN,121,FREN 120 or grade 10 French (or equivalent based on placement test). May not be taken for credit by students with French 11 or 12.
FREN,201,Grade 12 French or FREN 102 or FREN 122 or consult with the French advisor.
FREN,202,FREN 201 or FREN 210 or FREN 211 or FREN 212 or FREN 221 or consult with the French advisor.
FREN,203,FREN 202 with a minimum grade of C-.
FREN,221,"FREN 211 or 212, or with a grade of A, FREN 210. In the latter case, FREN 211 and 221 may be taken concurrently."
FREN,222,"FREN 221 or, with a grade of A, FREN 211 or, with a grade of A, FREN 212."
FREN,245,Grade 12 French Immersion or FREN 202 with a minimum grade of C+ or permission of the Department of French.
FREN,275,Grade 12 French Immersion or FREN 202 with a minimum grade of C+ or permission of the Department of French.
FREN,300,Grade 12 French Immersion or FREN 202 with a minimum grade of C+ or permission of the Department of French.
FREN,302,FREN 202 with a minimum grade of C-.
FREN,303,FREN 202 with a minimum grade of C- or Grade 12 French Immersion or with the permission of the Department of French.
FREN,304,FREN 222 (or equivalent based on placement test).
FREN,330,FREN 222 or permission of instructor.
FREN,333,FREN 275 or 270 or LING 222.
FREN,334,FREN 275 or 270 OR LING 222.
FREN,340,FREN 245 or 240.
FREN,341,FREN 245 or 230 or 240.
FREN,344,FREN 245 or 230 or 240.
FREN,345,"FREN 301W; FREN 245, 230, or 240."
FREN,350,FREN 245.
FREN,352,FREN 222. Students with B+ in FREN 221 may take FREN 222 and FREN 352 concurrently.
FREN,365,FREN 245.
FREN,416,"FREN 270 or 275 or LING 222, FREN 301W, and at least one 300-level group A (ling.) course."
FREN,420,"FREN 270 or 275 or LING 222, FREN 301W, and at least one 300-level group A (ling.) course."
FREN,423,"FREN 270 or 275 or LING 222, FREN 301W, and at least one 300-level group A (ling.) course."
FREN,425,"FREN 270 or 275 or LING 222, FREN 301W, and at least one 300-level group A (ling.) course."
FREN,430,"FREN 230 or 240 or 245, FREN 301W, and at least one 300-level group B (lit.) course."
FREN,440,"FREN 230 or 240 or 245, FREN 301W, and at least one 300-level group B (lit.) course."
FREN,442,"FREN 230 or 240 or 245, FREN 301W, and at least one 300-level group B (lit.) course."
FREN,444,"FREN 230 or 240 or 245, FREN 301W, and at least one 300-level group B (lit.) course."
FREN,452,"FREN 230 or 240 or 245, FREN 270 or 275 or LING 222, FREN 301W, and at least one 300-level group A (ling.) or group B (lit.) course."
FREN,455,"FREN 230 or 240 or 245, FREN 301W, and at least one 300-level group B (lit.) course"
FREN,465,Two 300-level FREN courses.
FREN,480,"FREN 301W and one of 230, 240, 245, 270 or 275 or LING 222. Corequisite: To be taken in conjunction with a 400-division course in French linguistics or literature."
FREN,491,
GA,101,
GA,202,15 units.
GA,210,15 units.
GA,211,15 units.
GA,301,45 units.
GA,302,45 units. Recommended: GA 101.
GA,303,45 units.
GA,304,45 units. Recommended: GA 101.
GA,333,45 units. Recommended: GA 101 or GA 211.
GA,388,15 units.
GA,400,45 units.
GA,401,45 units.
GEOG,104,
GEOG,111,
GEOG,150,
GEOG,161,
GEOG,162,
GEOG,213,GEOG 111 or EASC 101.
GEOG,214,GEOG 111.
GEOG,215,GEOG 111.
GEOG,221,GEOG 100.
GEOG,241,"One of GEOG 100, INDG 101, SA 101, or SA 150."
GEOG,251,
GEOG,253,
GEOG,255,
GEOG,261,GEOG 100 or 102.
GEOG,267,"Three GEOG courses including at least one of the following: GEOG 100, GEOG 104, or GEOG 162. Recommended: INDG 101 and INDG 286."
GEOG,302,
GEOG,303,
GEOG,304,GEOG 111 and GEOG 100; 45 units.
GEOG,310,"GEOG 213 and one of GEOG 214 or 215. Prerequisite or Corequisite: One of GEOG 311, 313, 314, 315, 316, 317 or 319."
GEOG,311,"GEOG 213 or 214; GEOG 251 or one of STAT 201, 203 (formerly 103), 205, or 270."
GEOG,312,"One of GEOG 100, 104 or 111 or one of EASC 101 or 104."
GEOG,313,"GEOG 213, or both EASC 209W and EASC 304."
GEOG,314,GEOG 214.
GEOG,315,GEOG 215 or BISC 204.
GEOG,316,GEOG 215 or BISC 204 or permission of the instructor.
GEOG,317,"One of GEOG 213, 214, 215, or CHEM 121."
GEOG,321,"At least 45 units, including GEOG 100."
GEOG,324,"At least 45 units, including GEOG 100."
GEOG,327,"At least 45 units, including GEOG 100 or REM 100."
GEOG,328,"At least 45 units, including GEOG 100 or LBST 101."
GEOG,333,A minimum of 45 units.
GEOG,340,"At least 45 units, including GEOG 100 or GSWS 100 or GSWS 101 or GSWS 102 or INDG 101 or SA 101 or HSCI 120 or CMNS 130."
GEOG,351,GEOG 255.
GEOG,352,"GEOG 251 or one of STAT 201, 203 (formerly 103), 205, or 270."
GEOG,353,GEOG 253.
GEOG,355,GEOG 255.
GEOG,363,"At least 45 units, including GEOG 100."
GEOG,364,"At least 45 units, including GEOG 100."
GEOG,385,"At least 45 units, including GEOG 100 or REM 100."
GEOG,402,
GEOG,403,
GEOG,404,"Permission to enter directed readings courses requires written consent of both the faculty member willing to supervise the research, and the chair of the department."
GEOG,405,"Permission to enter directed readings courses requires written consent of both the faculty member willing to supervise the research, and the chair of the department."
GEOG,409,GEOG 403 and readmission to the environment co-operative education program.
GEOG,414,GEOG 314.
GEOG,418,"One of GEOG 311, GEOG 314, GEOG 316, GEOG 317, EASC 304, or EASC 405; one of GEOG 251, STAT 201, STAT 203 (formerly STAT 103), STAT 205, or STAT 270."
GEOG,432,60 units including eight of upper division geography.
GEOG,441,"At least 45 units, including either GEOG 100 or GEOG 161."
GEOG,451,"GEOG 251 or one of STAT 201, 203 (formerly 103), 205, or 270; one of GEOG 351, 352, 353, 355 or 356."
GEOG,457,GEOG 356.
GEOG,465,"At least 60 units, including GEOG 241."
GEOG,491,105 units and consent of supervisor. See a departmental academic advisor for details.
GERM,110,GERM 100 (or GERM 102) or equivalent.
GERM,200,GERM 110 (or GERM 103) or equivalent.
GERM,210,GERM 200 (or GERM 201) or equivalent.
GERM,300,GERM 202 or consent of the instructor.
GERO,101,
GERO,300,60 units.
GERO,301,60 units.
GERO,302,60 units. Recommended: GERO 300.
GERO,404,60 units. Recommended: GERO 300.
GERO,408,60 units. Recommended: GERO 300.
GERO,410,60 units. Recommended: GERO 300.
GERO,411,60 units. Recommended: GERO 300.
GERO,412,60 units. Recommended: GERO 300.
GERO,413,Recommended: GERO 101 or 300.
GERO,420,60 units. Recommended: GERO 300.
GRK,111,GRK 100 (or GRK 191) or equivalent.
GRK,200,GRK 111 (or GRK 192) or equivalent.
GRK,211,GRK 200 (or GRK 291) or equivalent.
GSWS,101,
GSWS,102,
GSWS,103,
GSWS,200,
GSWS,204,
GSWS,205,
GSWS,212,
GSWS,215,
GSWS,216,
GSWS,305,30 units including three units in GSWS or WS or GDST or LBST.
GSWS,306,30 units including three units in GSWS or WS or GDST.
GSWS,312,15 units.
GSWS,314,15 units.
GSWS,315,15 units.
GSWS,316,30 units.
GSWS,318,"30 units, including three units in GSWS."
GSWS,319,30 units including three units in GSWS or WS or GDST.
GSWS,320,15 units.
GSWS,321,15 units.
GSWS,331,"30 units, including three unist in GSWS. Students who have taken GDST 301, or WS 301 Special Topics: Theorizing Queer Genders may not take this course for further credit."
GSWS,332,15 units.
GSWS,333,30 units including three units in GSWS or WS or GDST.
GSWS,341,"45 units, including six units of lower division history."
GSWS,388,15 units.
GSWS,399,30 units.
GSWS,401,Nine units in GSWS including GSWS 101 (or WS 101) and/or GSWS 102 (or WS 102) and approval of the course proposal by the department.
GSWS,402,Nine units in GSWS including GSWS 101 (or WS 101) and/or GSWS 102 (or WS 102) and approval of course proposal by Dept.
GSWS,403,nine units in GSWS including GSWS 101 (or WS 101) or GSWS 102 (or WS 102) and approval of course proposal by Dept.
GSWS,411,"45 units, including six units in GSWS."
GSWS,414,"45 units, including 6 units in GSWS."
GSWS,416,"45 units, including six units in GSWS."
GSWS,431,45 units including six units in GSWS or CA.
GSWS,433,"45 units, including six units in GSWS or WS or GDST."
HIST,101,
HIST,104,
HIST,106,
HIST,111,
HIST,130,
HIST,132,
HIST,135,
HIST,151,
HIST,185,
HIST,200,
HIST,204,Recommended: HIST 101 and 102W.
HIST,206,
HIST,212,Recommended: HIST 104.
HIST,213,Recommended: HIST 212.
HIST,215,
HIST,220,
HIST,223,
HIST,224,
HIST,225,
HIST,236,
HIST,243,
HIST,252,
HIST,254,
HIST,255,
HIST,276,
HIST,288,
HIST,300,"45 units, including six units of lower division history."
HIST,315,"45 units, including six units of lower division history."
HIST,320,"45 units, including six units of lower division history. Strongly recommended: HIST 220 or 223."
HIST,325,"45 units, including six units of lower division history."
HIST,326,"45 units, including six units of lower division history."
HIST,332,"45 units, including six units of lower division history."
HIST,334,"45 units, including six units of lower division history. Recommended: HIST 106."
HIST,335,"45 units, including six units of lower division history."
HIST,336,"45 units, including six units of lower division history. Recommended: HIST 223 or 224."
HIST,338,"45 units, including six units of lower division history. Recommended: HIST 225."
HIST,341,"45 units, including six units of lower division history."
HIST,344,"45 units, including six units of lower division history."
HIST,354,"45 units, including six units of lower division history. Recommended: one of HIST 151, 249."
HIST,355,"45 units, including six units of lower division history. Recommended: one of HIST 151, 249."
HIST,358,"45 units, including six units of lower division history."
HIST,359,45 units.
HIST,371,"45 units, including six units of lower division history. Recommended: at least one course on modern Japan."
HIST,372,"45 units, including six units of lower division history or enrollment in the Urban Studies Certificate program."
HIST,376,"45 units, including six units of lower division history."
HIST,382,45 units including 9 units of lower division History.
HIST,390,"45 units, including six units of lower division history."
HIST,400,Admission to the honours program in history.
HIST,402,"45 units including nine units of lower division history and one of HIST 220, 223, HUM 219, 305, 311, 312W or permission of the department."
HIST,404,45 units including nine units of lower division history. Recommended: HIST 315.
HIST,420,45 units including nine units of lower division history.
HIST,424,"45 units including nine units of lower division history. Recommended: HIST 101, 102W."
HIST,427,45 units including nine units of lower division history.
HIST,428,"45 units including nine units of lower division history. Recommended: HIST 101, 102W."
HIST,430,"45 units, including nine units of lower division history or permission of the instructor. Recommended: HIST 101, 102W, 104."
HIST,432,45 units including nine units of lower division history.
HIST,435,"45 units including nine units of lower division history, or permission of the department."
HIST,436,45 units including nine units of lower division history. Recommended: HIST 101 and 102W.
HIST,440,"45 units, including nine units of lower division history."
HIST,441,45 units.
HIST,454,"45 units, including 9 units of lower-division HIST or 9 units of GSWS. Recommended: HIST 115."
HIST,464,45 units including nine units of lower division history.
HIST,467,"45 units including nine units of lower division history and one of HIST 151, 249, 350, 354, 355 or permission of the department."
HIST,476,"45 units, including six units of lower division history or by permission of instructor."
HIST,485,45 units including nine units of lower division history.
HIST,489,45 units including nine units of lower division history. Recommended: at least three upper division courses in history.
HIST,490,45 units including nine units of lower division history. Recommended: at least three upper division courses in history.
HIST,494,Admission to the honours program in history.
HIST,498,Admission to the honours program in History.
HSCI,120,
HSCI,130,
HSCI,160,
HSCI,180,
HSCI,199,Will vary according to topic. Corequisite: Will vary according to topic.
HSCI,204,"HSCI 100 or BISC 101, HSCI 130, all with a minimum grade of C-."
HSCI,206,HSCI 130 with a minimum grade of C-.
HSCI,207,HSCI 130 with a minimum grade of C-. Corequisite: STAT 201 or 203 or 205.
HSCI,211,"HSCI 100 or BISC 101, HSCI 130, all with a minimum grade of C-."
HSCI,212,"HSCI 100 or BISC 101, HSCI 130, all with a minimum grade of C-."
HSCI,214,"HSCI 100 or BISC 101, HSCI 130, all with a minimum grade of C-."
HSCI,216,"HSCI 100 or BISC 101, with a minimum grade of C-."
HSCI,220,HSCI 130 with a minimum grade of C- or permission of the instructor.
HSCI,230,"30 units, including HSCI 130 with a minimum grade of C-, or permission of the instructor."
HSCI,305,"60 units, including nine HSCI units with a minimum grade of C-."
HSCI,308,45 units. Recommended: HSCI 130.
HSCI,310,60 units including HSCI 130 with a minimum grade of C-.
HSCI,312,"60 units, including either HSCI 130 or BPK 140, with a minimum grade of C-."
HSCI,321,MBB 231 with a minimum grade of C- or permission of the instructor.
HSCI,323,"MBB 231, CHEM 282, both with a minimum grade of C-."
HSCI,324,BISC 202 with a minimum grade of C-.
HSCI,326,MBB 231 with a minimum grade of C-.
HSCI,333,"60 units and completion of one of: HSCI 100, BISC 100, BISC 101 or BISC 102, with a minimum grade of C-."
HSCI,336,MBB 231 with a minimum grade of C-.
HSCI,338,MBB 222 with a minimum grade of C- or permission of the instructor. Corequisite: BISC 303.
HSCI,340,"60 units and two HSCI 200-level courses with a minimum grade of C-, one of which may be taken concurrently."
HSCI,341,"HSCI 230, and STAT 201 or 203 or 205, all with a minimum grade of C-."
HSCI,345,45 units. HSCI 130 strongly recommended.
HSCI,350,Students must be accepted into the health sciences co-op program.
HSCI,351,Completion of HSCI 350 Co-op Practicum I.
HSCI,402,HSCI 214 with a minimum grade of C-.
HSCI,403,60 units including HSCI 230 (or 330) with a minimum grade of C-.
HSCI,408,"90 units, including HSCI 230 (or 330) with a minimum grade of C-."
HSCI,410,"STAT 302 or STAT 305, with a minimum grade of C-. Recommended: HSCI 230."
HSCI,412,"HSCI 312 and two HSCI 200-level courses, with a minimum grade of C-."
HSCI,416,"STAT 302 or STAT 305, and HSCI 207 (or 307) or HSCI 230 (or 330), all with a minimum grade of C-."
