Department,CourseNumber,Prerequisites,Offerings
FASS,402,Open only to students accepted to the FASS Co-op Program.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
FASS,499,"Open to FASS Undergraduate Student Fellows, who will be selected by the faculty.",['Spring 2025']
FEP,200,,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
FEP,201,,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
FEP,202,,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
FEP,203,,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
FEP,204,,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
FEP,205,,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
FEP,206,,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
FEP,209,,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
FEP,221,,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
FEP,222,,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
FEP,224,,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
FEP,225,,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
FREN,101,,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024']"
FREN,102,"FREN 101, FREN 120, or FREN 121 or consult with a French advisor.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Spring 2024']"
FREN,120,Never studied or experienced French before.,['Spring 2024']
FREN,121,FREN 120 or grade 10 French (or equivalent based on placement test). May not be taken for credit by students with French 11 or 12.,['Spring 2024']
FREN,201,Grade 12 French or FREN 102 or FREN 122 or consult with the French advisor.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
FREN,202,FREN 201 or FREN 210 or FREN 211 or FREN 212 or FREN 221 or consult with the French advisor.,"['Spring 2025', 'Fall 2024']"
FREN,203,FREN 202 with a minimum grade of C-.,['Fall 2024']
FREN,221,"FREN 211 or 212, or with a grade of A, FREN 210. In the latter case, FREN 211 and 221 may be taken concurrently.",['Spring 2024']
FREN,222,"FREN 221 or, with a grade of A, FREN 211 or, with a grade of A, FREN 212.",['Spring 2024']
FREN,245,Grade 12 French Immersion or FREN 202 with a minimum grade of C+ or permission of the Department of French.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Spring 2024']"
FREN,275,Grade 12 French Immersion or FREN 202 with a minimum grade of C+ or permission of the Department of French.,"['Spring 2025', 'Fall 2024', 'Spring 2024']"
FREN,300,Grade 12 French Immersion or FREN 202 with a minimum grade of C+ or permission of the Department of French.,"['Fall 2024', 'Spring 2024']"
FREN,302,FREN 202 with a minimum grade of C-.,['Spring 2025']
FREN,303,FREN 202 with a minimum grade of C- or Grade 12 French Immersion or with the permission of the Department of French.,['Fall 2024']
FREN,304,FREN 222 (or equivalent based on placement test).,"['Spring 2025', 'Summer 2024']"
FREN,330,FREN 222 or permission of instructor.,['Summer 2025']
FREN,333,FREN 275 or 270 or LING 222.,['Spring 2025']
FREN,334,FREN 275 or 270 OR LING 222.,['Fall 2024']
FREN,340,FREN 245 or 240.,"['Spring 2025', 'Spring 2024']"
FREN,341,FREN 245 or 230 or 240.,['Fall 2024']
FREN,344,FREN 245 or 230 or 240.,"['Spring 2025', 'Spring 2024']"
FREN,345,"FREN 301W; FREN 245, 230, or 240.",['Summer 2024']
FREN,350,FREN 245.,['Summer 2025']
FREN,352,FREN 222. Students with B+ in FREN 221 may take FREN 222 and FREN 352 concurrently.,"['Spring 2025', 'Spring 2024']"
FREN,365,FREN 245.,['Fall 2024']
FREN,416,"FREN 270 or 275 or LING 222, FREN 301W, and at least one 300-level group A (ling.) course.",['Spring 2024']
FREN,420,"FREN 270 or 275 or LING 222, FREN 301W, and at least one 300-level group A (ling.) course.","['Summer 2025', 'Fall 2024']"
FREN,423,"FREN 270 or 275 or LING 222, FREN 301W, and at least one 300-level group A (ling.) course.",['Summer 2024']
FREN,425,"FREN 270 or 275 or LING 222, FREN 301W, and at least one 300-level group A (ling.) course.",['Spring 2024']
FREN,430,"FREN 230 or 240 or 245, FREN 301W, and at least one 300-level group B (lit.) course.",['Summer 2024']
FREN,440,"FREN 230 or 240 or 245, FREN 301W, and at least one 300-level group B (lit.) course.","['Spring 2025', 'Spring 2024']"
FREN,442,"FREN 230 or 240 or 245, FREN 301W, and at least one 300-level group B (lit.) course.",['Fall 2024']
FREN,444,"FREN 230 or 240 or 245, FREN 301W, and at least one 300-level group B (lit.) course.","['Summer 2025', 'Spring 2024']"
FREN,452,"FREN 230 or 240 or 245, FREN 270 or 275 or LING 222, FREN 301W, and at least one 300-level group A (ling.) or group B (lit.) course.",['Fall 2024']
FREN,455,"FREN 230 or 240 or 245, FREN 301W, and at least one 300-level group B (lit.) course",['Spring 2025']
FREN,465,Two 300-level FREN courses.,['Spring 2025']
FREN,480,"FREN 301W and one of 230, 240, 245, 270 or 275 or LING 222. Corequisite: To be taken in conjunction with a 400-division course in French linguistics or literature.","['Spring 2025', 'Spring 2024']"
FREN,491,,['Fall 2024']
GA,101,,"['Spring 2025', 'Fall 2024', 'Spring 2024']"
GA,202,15 units.,"['Spring 2025', 'Summer 2024']"
GA,210,15 units.,['Spring 2024']
GA,211,15 units.,['Fall 2024']
GA,301,45 units.,['Fall 2024']
GA,302,45 units. Recommended: GA 101.,"['Summer 2025', 'Fall 2024', 'Summer 2024']"
GA,303,45 units.,"['Spring 2025', 'Spring 2024']"
GA,304,45 units. Recommended: GA 101.,['Fall 2024']
GA,333,45 units. Recommended: GA 101 or GA 211.,['Spring 2025']
GA,388,15 units.,['Fall 2024']
GA,400,45 units.,"['Spring 2025', 'Spring 2024']"
GA,401,45 units.,['Fall 2024']
GEOG,104,,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
GEOG,111,,"['Spring 2025', 'Fall 2024', 'Spring 2024']"
GEOG,150,,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024']"
GEOG,161,,"['Spring 2025', 'Spring 2024']"
GEOG,162,,['Fall 2024']
GEOG,213,GEOG 111 or EASC 101.,"['Fall 2024', 'Spring 2024']"
GEOG,214,GEOG 111.,"['Fall 2024', 'Spring 2024']"
GEOG,215,GEOG 111.,"['Spring 2025', 'Spring 2024']"
GEOG,221,GEOG 100.,"['Spring 2025', 'Fall 2024', 'Spring 2024']"
GEOG,241,"One of GEOG 100, INDG 101, SA 101, or SA 150.","['Spring 2025', 'Spring 2024']"
GEOG,251,,"['Spring 2025', 'Fall 2024', 'Spring 2024']"
GEOG,253,,"['Fall 2024', 'Spring 2024']"
GEOG,255,,"['Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
GEOG,261,GEOG 100 or 102.,['Spring 2025']
GEOG,267,"Three GEOG courses including at least one of the following: GEOG 100, GEOG 104, or GEOG 162. Recommended: INDG 101 and INDG 286.",['Spring 2025']
GEOG,302,,"['Fall 2024', 'Summer 2024', 'Spring 2024']"
GEOG,303,,"['Fall 2024', 'Summer 2024', 'Spring 2024']"
GEOG,304,GEOG 111 and GEOG 100; 45 units.,['Summer 2024']
GEOG,310,"GEOG 213 and one of GEOG 214 or 215. Prerequisite or Corequisite: One of GEOG 311, 313, 314, 315, 316, 317 or 319.","['Spring 2025', 'Summer 2024']"
GEOG,311,"GEOG 213 or 214; GEOG 251 or one of STAT 201, 203 (formerly 103), 205, or 270.",['Fall 2024']
GEOG,312,"One of GEOG 100, 104 or 111 or one of EASC 101 or 104.","['Summer 2025', 'Fall 2024', 'Summer 2024']"
GEOG,313,"GEOG 213, or both EASC 209W and EASC 304.","['Spring 2025', 'Spring 2024']"
GEOG,314,GEOG 214.,['Fall 2024']
GEOG,315,GEOG 215 or BISC 204.,['Spring 2024']
GEOG,316,GEOG 215 or BISC 204 or permission of the instructor.,['Spring 2024']
GEOG,317,"One of GEOG 213, 214, 215, or CHEM 121.",['Spring 2025']
GEOG,321,"At least 45 units, including GEOG 100.",['Fall 2024']
GEOG,324,"At least 45 units, including GEOG 100.","['Spring 2025', 'Spring 2024']"
GEOG,327,"At least 45 units, including GEOG 100 or REM 100.",['Spring 2025']
GEOG,328,"At least 45 units, including GEOG 100 or LBST 101.",['Spring 2025']
GEOG,333,A minimum of 45 units.,"['Spring 2025', 'Spring 2024']"
GEOG,340,"At least 45 units, including GEOG 100 or GSWS 100 or GSWS 101 or GSWS 102 or INDG 101 or SA 101 or HSCI 120 or CMNS 130.",['Fall 2024']
GEOG,351,GEOG 255.,['Fall 2024']
GEOG,352,"GEOG 251 or one of STAT 201, 203 (formerly 103), 205, or 270.","['Spring 2025', 'Spring 2024']"
GEOG,353,GEOG 253.,"['Spring 2025', 'Spring 2024']"
GEOG,355,GEOG 255.,"['Fall 2024', 'Spring 2024']"
GEOG,363,"At least 45 units, including GEOG 100.","['Summer 2025', 'Summer 2024']"
GEOG,364,"At least 45 units, including GEOG 100.",['Fall 2024']
GEOG,385,"At least 45 units, including GEOG 100 or REM 100.",['Fall 2024']
GEOG,402,,"['Fall 2024', 'Summer 2024', 'Spring 2024']"
GEOG,403,,"['Fall 2024', 'Summer 2024', 'Spring 2024']"
GEOG,404,"Permission to enter directed readings courses requires written consent of both the faculty member willing to supervise the research, and the chair of the department.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
GEOG,405,"Permission to enter directed readings courses requires written consent of both the faculty member willing to supervise the research, and the chair of the department.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
GEOG,409,GEOG 403 and readmission to the environment co-operative education program.,"['Fall 2024', 'Summer 2024', 'Spring 2024']"
GEOG,414,GEOG 314.,"['Spring 2025', 'Spring 2024']"
GEOG,418,"One of GEOG 311, GEOG 314, GEOG 316, GEOG 317, EASC 304, or EASC 405; one of GEOG 251, STAT 201, STAT 203 (formerly STAT 103), STAT 205, or STAT 270.",['Spring 2024']
GEOG,432,60 units including eight of upper division geography.,['Summer 2025']
GEOG,441,"At least 45 units, including either GEOG 100 or GEOG 161.",['Fall 2024']
GEOG,451,"GEOG 251 or one of STAT 201, 203 (formerly 103), 205, or 270; one of GEOG 351, 352, 353, 355 or 356.",['Fall 2024']
GEOG,457,GEOG 356.,['Spring 2024']
GEOG,465,"At least 60 units, including GEOG 241.","['Spring 2025', 'Spring 2024']"
GEOG,491,105 units and consent of supervisor. See a departmental academic advisor for details.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
GERM,110,GERM 100 (or GERM 102) or equivalent.,"['Spring 2025', 'Fall 2024', 'Spring 2024']"
GERM,200,GERM 110 (or GERM 103) or equivalent.,['Fall 2024']
GERM,210,GERM 200 (or GERM 201) or equivalent.,"['Spring 2025', 'Spring 2024']"
GERM,300,GERM 202 or consent of the instructor.,"['Summer 2025', 'Fall 2024']"
GERO,101,,"['Summer 2025', 'Spring 2025', 'Summer 2024', 'Spring 2024']"
GERO,300,60 units.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
GERO,301,60 units.,['Fall 2024']
GERO,302,60 units. Recommended: GERO 300.,['Spring 2025']
GERO,404,60 units. Recommended: GERO 300.,"['Fall 2024', 'Spring 2024']"
GERO,408,60 units. Recommended: GERO 300.,"['Spring 2025', 'Spring 2024']"
GERO,410,60 units. Recommended: GERO 300.,"['Spring 2025', 'Summer 2024']"
GERO,411,60 units. Recommended: GERO 300.,"['Fall 2024', 'Summer 2024']"
GERO,412,60 units. Recommended: GERO 300.,['Summer 2025']
GERO,413,Recommended: GERO 101 or 300.,['Spring 2024']
GERO,420,60 units. Recommended: GERO 300.,"['Spring 2025', 'Fall 2024']"
GRK,111,GRK 100 (or GRK 191) or equivalent.,"['Spring 2025', 'Fall 2024']"
GRK,200,GRK 111 (or GRK 192) or equivalent.,"['Spring 2025', 'Fall 2024']"
GRK,211,GRK 200 (or GRK 291) or equivalent.,"['Spring 2025', 'Fall 2024']"
GSWS,101,,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024']"
GSWS,102,,['Fall 2024']
GSWS,103,,['Spring 2025']
GSWS,200,,"['Fall 2024', 'Summer 2024']"
GSWS,204,,"['Spring 2025', 'Spring 2024']"
GSWS,205,,['Summer 2024']
GSWS,212,,"['Spring 2025', 'Spring 2024']"
GSWS,215,,['Spring 2024']
GSWS,216,,['Summer 2024']
GSWS,305,30 units including three units in GSWS or WS or GDST or LBST.,['Fall 2024']
GSWS,306,30 units including three units in GSWS or WS or GDST.,"['Summer 2025', 'Fall 2024']"
GSWS,312,15 units.,"['Spring 2025', 'Spring 2024']"
GSWS,314,15 units.,['Spring 2025']
GSWS,315,15 units.,"['Fall 2024', 'Spring 2024']"
GSWS,316,30 units.,['Fall 2024']
GSWS,318,"30 units, including three units in GSWS.","['Spring 2025', 'Summer 2024']"
GSWS,319,30 units including three units in GSWS or WS or GDST.,"['Spring 2025', 'Fall 2024']"
GSWS,320,15 units.,"['Spring 2025', 'Fall 2024', 'Spring 2024']"
GSWS,321,15 units.,"['Spring 2025', 'Spring 2024']"
GSWS,331,"30 units, including three unist in GSWS. Students who have taken GDST 301, or WS 301 Special Topics: Theorizing Queer Genders may not take this course for further credit.",['Spring 2024']
GSWS,332,15 units.,['Fall 2024']
GSWS,333,30 units including three units in GSWS or WS or GDST.,"['Summer 2025', 'Summer 2024']"
GSWS,341,"45 units, including six units of lower division history.",['Spring 2024']
GSWS,388,15 units.,['Fall 2024']
GSWS,399,30 units.,['Summer 2024']
GSWS,401,Nine units in GSWS including GSWS 101 (or WS 101) and/or GSWS 102 (or WS 102) and approval of the course proposal by the department.,"['Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
GSWS,402,Nine units in GSWS including GSWS 101 (or WS 101) and/or GSWS 102 (or WS 102) and approval of course proposal by Dept.,"['Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
GSWS,403,nine units in GSWS including GSWS 101 (or WS 101) or GSWS 102 (or WS 102) and approval of course proposal by Dept.,"['Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
GSWS,411,"45 units, including six units in GSWS.","['Summer 2025', 'Spring 2025', 'Summer 2024']"
GSWS,414,"45 units, including 6 units in GSWS.",['Fall 2024']
GSWS,416,"45 units, including six units in GSWS.",['Fall 2024']
GSWS,431,45 units including six units in GSWS or CA.,['Spring 2024']
GSWS,433,"45 units, including six units in GSWS or WS or GDST.","['Spring 2025', 'Spring 2024']"
HIST,101,,['Fall 2024']
HIST,104,,"['Spring 2025', 'Spring 2024']"
HIST,106,,"['Fall 2024', 'Spring 2024']"
HIST,111,,"['Spring 2025', 'Summer 2024']"
HIST,130,,"['Spring 2025', 'Fall 2024']"
HIST,132,,"['Fall 2024', 'Spring 2024']"
HIST,135,,"['Summer 2025', 'Fall 2024']"
HIST,151,,"['Spring 2025', 'Fall 2024', 'Spring 2024']"
HIST,185,,['Summer 2024']
HIST,200,,"['Fall 2024', 'Summer 2024', 'Spring 2024']"
HIST,204,Recommended: HIST 101 and 102W.,['Spring 2024']
HIST,206,,"['Spring 2025', 'Spring 2024']"
HIST,212,Recommended: HIST 104.,['Fall 2024']
HIST,213,Recommended: HIST 212.,['Spring 2025']
HIST,215,,"['Spring 2025', 'Spring 2024']"
HIST,220,,['Summer 2025']
HIST,223,,['Spring 2024']
HIST,224,,"['Summer 2025', 'Fall 2024']"
HIST,225,,"['Spring 2025', 'Spring 2024']"
HIST,236,,['Summer 2024']
HIST,243,,['Spring 2024']
HIST,252,,['Summer 2025']
HIST,254,,['Fall 2024']
HIST,255,,"['Spring 2025', 'Spring 2024']"
HIST,276,,['Fall 2024']
HIST,288,,['Spring 2025']
HIST,300,"45 units, including six units of lower division history.",['Fall 2024']
HIST,315,"45 units, including six units of lower division history.","['Summer 2025', 'Summer 2024']"
HIST,320,"45 units, including six units of lower division history. Strongly recommended: HIST 220 or 223.",['Spring 2024']
HIST,325,"45 units, including six units of lower division history.",['Fall 2024']
HIST,326,"45 units, including six units of lower division history.","['Spring 2025', 'Spring 2024']"
HIST,332,"45 units, including six units of lower division history.",['Fall 2024']
HIST,334,"45 units, including six units of lower division history. Recommended: HIST 106.",['Fall 2024']
HIST,335,"45 units, including six units of lower division history.",['Spring 2025']
HIST,336,"45 units, including six units of lower division history. Recommended: HIST 223 or 224.",['Spring 2025']
HIST,338,"45 units, including six units of lower division history. Recommended: HIST 225.","['Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
HIST,341,"45 units, including six units of lower division history.",['Spring 2024']
HIST,344,"45 units, including six units of lower division history.",['Summer 2024']
HIST,354,"45 units, including six units of lower division history. Recommended: one of HIST 151, 249.",['Spring 2024']
HIST,355,"45 units, including six units of lower division history. Recommended: one of HIST 151, 249.",['Spring 2024']
HIST,358,"45 units, including six units of lower division history.",['Summer 2025']
HIST,359,45 units.,['Spring 2025']
HIST,371,"45 units, including six units of lower division history. Recommended: at least one course on modern Japan.","['Summer 2025', 'Summer 2024']"
HIST,372,"45 units, including six units of lower division history or enrollment in the Urban Studies Certificate program.",['Spring 2025']
HIST,376,"45 units, including six units of lower division history.",['Spring 2024']
HIST,382,45 units including 9 units of lower division History.,['Fall 2024']
HIST,390,"45 units, including six units of lower division history.",['Spring 2025']
HIST,400,Admission to the honours program in history.,['Fall 2024']
HIST,402,"45 units including nine units of lower division history and one of HIST 220, 223, HUM 219, 305, 311, 312W or permission of the department.",['Spring 2024']
HIST,404,45 units including nine units of lower division history. Recommended: HIST 315.,"['Spring 2025', 'Spring 2024']"
HIST,420,45 units including nine units of lower division history.,['Fall 2024']
HIST,424,"45 units including nine units of lower division history. Recommended: HIST 101, 102W.",['Spring 2025']
HIST,427,45 units including nine units of lower division history.,['Fall 2024']
HIST,428,"45 units including nine units of lower division history. Recommended: HIST 101, 102W.",['Summer 2024']
HIST,430,"45 units, including nine units of lower division history or permission of the instructor. Recommended: HIST 101, 102W, 104.","['Spring 2025', 'Spring 2024']"
HIST,432,45 units including nine units of lower division history.,['Summer 2025']
HIST,435,"45 units including nine units of lower division history, or permission of the department.",['Fall 2024']
HIST,436,45 units including nine units of lower division history. Recommended: HIST 101 and 102W.,['Spring 2024']
HIST,440,"45 units, including nine units of lower division history.",['Spring 2025']
HIST,441,45 units.,['Fall 2024']
HIST,454,"45 units, including 9 units of lower-division HIST or 9 units of GSWS. Recommended: HIST 115.","['Spring 2025', 'Spring 2024']"
HIST,464,45 units including nine units of lower division history.,['Fall 2024']
HIST,467,"45 units including nine units of lower division history and one of HIST 151, 249, 350, 354, 355 or permission of the department.","['Spring 2025', 'Spring 2024']"
HIST,476,"45 units, including six units of lower division history or by permission of instructor.",['Spring 2025']
HIST,485,45 units including nine units of lower division history.,"['Summer 2024', 'Spring 2024']"
HIST,489,45 units including nine units of lower division history. Recommended: at least three upper division courses in history.,"['Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
HIST,490,45 units including nine units of lower division history. Recommended: at least three upper division courses in history.,"['Summer 2024', 'Spring 2024']"
HIST,494,Admission to the honours program in history.,"['Spring 2025', 'Spring 2024']"
HIST,498,Admission to the honours program in History.,"['Spring 2025', 'Spring 2024']"
HSCI,120,,"['Spring 2025', 'Fall 2024', 'Spring 2024']"
HSCI,130,,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
HSCI,160,,"['Spring 2025', 'Fall 2024', 'Spring 2024']"
HSCI,180,,['Spring 2024']
HSCI,199,Will vary according to topic. Corequisite: Will vary according to topic.,"['Summer 2025', 'Summer 2024']"
HSCI,204,"HSCI 100 or BISC 101, HSCI 130, all with a minimum grade of C-.","['Spring 2025', 'Spring 2024']"
HSCI,206,HSCI 130 with a minimum grade of C-.,"['Spring 2025', 'Spring 2024']"
HSCI,207,HSCI 130 with a minimum grade of C-. Corequisite: STAT 201 or 203 or 205.,"['Spring 2025', 'Fall 2024', 'Spring 2024']"
HSCI,211,"HSCI 100 or BISC 101, HSCI 130, all with a minimum grade of C-.","['Spring 2025', 'Spring 2024']"
HSCI,212,"HSCI 100 or BISC 101, HSCI 130, all with a minimum grade of C-.","['Spring 2025', 'Spring 2024']"
HSCI,214,"HSCI 100 or BISC 101, HSCI 130, all with a minimum grade of C-.",['Fall 2024']
HSCI,216,"HSCI 100 or BISC 101, with a minimum grade of C-.","['Summer 2025', 'Fall 2024', 'Summer 2024']"
HSCI,220,HSCI 130 with a minimum grade of C- or permission of the instructor.,"['Spring 2025', 'Fall 2024', 'Spring 2024']"
HSCI,230,"30 units, including HSCI 130 with a minimum grade of C-, or permission of the instructor.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
HSCI,305,"60 units, including nine HSCI units with a minimum grade of C-.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
HSCI,308,45 units. Recommended: HSCI 130.,"['Summer 2025', 'Summer 2024']"
HSCI,310,60 units including HSCI 130 with a minimum grade of C-.,"['Spring 2025', 'Spring 2024']"
HSCI,312,"60 units, including either HSCI 130 or BPK 140, with a minimum grade of C-.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Spring 2024']"
HSCI,321,MBB 231 with a minimum grade of C- or permission of the instructor.,"['Spring 2025', 'Spring 2024']"
HSCI,323,"MBB 231, CHEM 282, both with a minimum grade of C-.",['Fall 2024']
HSCI,324,BISC 202 with a minimum grade of C-.,"['Spring 2025', 'Fall 2024', 'Spring 2024']"
HSCI,326,MBB 231 with a minimum grade of C-.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
HSCI,333,"60 units and completion of one of: HSCI 100, BISC 100, BISC 101 or BISC 102, with a minimum grade of C-.","['Spring 2025', 'Spring 2024']"
HSCI,336,MBB 231 with a minimum grade of C-.,"['Spring 2025', 'Fall 2024', 'Spring 2024']"
HSCI,338,MBB 222 with a minimum grade of C- or permission of the instructor. Corequisite: BISC 303.,['Fall 2024']
HSCI,340,"60 units and two HSCI 200-level courses with a minimum grade of C-, one of which may be taken concurrently.","['Spring 2025', 'Fall 2024', 'Spring 2024']"
HSCI,341,"HSCI 230, and STAT 201 or 203 or 205, all with a minimum grade of C-.","['Spring 2025', 'Fall 2024', 'Spring 2024']"
HSCI,345,45 units. HSCI 130 strongly recommended.,['Spring 2025']
HSCI,350,Students must be accepted into the health sciences co-op program.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
HSCI,351,Completion of HSCI 350 Co-op Practicum I.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
HSCI,402,HSCI 214 with a minimum grade of C-.,"['Fall 2024', 'Summer 2024']"
HSCI,403,60 units including HSCI 230 (or 330) with a minimum grade of C-.,['Spring 2025']
HSCI,408,"90 units, including HSCI 230 (or 330) with a minimum grade of C-.","['Spring 2025', 'Spring 2024']"
HSCI,410,"STAT 302 or STAT 305, with a minimum grade of C-. Recommended: HSCI 230.","['Spring 2025', 'Fall 2024', 'Spring 2024']"
HSCI,412,"HSCI 312 and two HSCI 200-level courses, with a minimum grade of C-.","['Spring 2025', 'Fall 2024']"
HSCI,416,"STAT 302 or STAT 305, and HSCI 207 (or 307) or HSCI 230 (or 330), all with a minimum grade of C-.","['Spring 2025', 'Fall 2024', 'Spring 2024']"
HSCI,424,"A minimum of 60 units and HSCI 230 (or 330) with a minimum grade of C- and one of STAT 302 or STAT 305, with a minimum grade of C-.",['Fall 2024']
HSCI,427,"MBB 326 or HSCI 326, with a minimum grade of C, or permission of the instructor.","['Spring 2025', 'Spring 2024']"
HSCI,431,"60 units including either HSCI 212 or 230 (or 330), with a minimum grade of C-.","['Spring 2025', 'Fall 2024', 'Spring 2024']"
HSCI,432,HSCI 230 (or 330) with a minimum grade of C-.,"['Spring 2025', 'Fall 2024', 'Spring 2024']"
HSCI,440,"HSCI 321, HSCI 323, and one of BISC 357, MBB 308, or MBB 309W, all with a minimum grade of C-.","['Spring 2025', 'Fall 2024', 'Spring 2024']"
HSCI,441,"HSCI 338 and one of: BISC 303, BISC 357, MBB 308, or MBB 309, all with a minimum grade of C-.","['Spring 2025', 'Spring 2024']"
HSCI,442,"HSCI 326 or MBB 326, and one of BISC 303, BISC 357, MBB 308, or MBB 309W, all with a minimum grade of C-.",['Fall 2024']
HSCI,449,"90 units including HSCI 312 with a minimum grade of C- and HSCI 319 or 327, with a minimum grade of C-. Students may be required to successfully complete a Criminal Record Check.","['Summer 2025', 'Spring 2025', 'Summer 2024', 'Spring 2024']"
HSCI,450,Completion of HSCI 351 Co-op Practicum II.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
HSCI,451,Completion of HSCI 450 Co-op Practicum III.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
HSCI,452,Completion of HSCI 451 Co-op Practicum IV.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
HSCI,461,HSCI 216 with a minimum grade of C-.,['Fall 2024']
HSCI,471,Will vary according to topic.,"['Summer 2025', 'Spring 2025', 'Summer 2024', 'Spring 2024']"
HSCI,472,Will vary according to topic.,"['Fall 2024', 'Spring 2024']"
HSCI,474,"HSCI 323 and either HSCI 321 or MBB 331, all with a minimum grade of C-.","['Spring 2025', 'Spring 2024']"
HSCI,475,"HSCI 323, HSCI 324, and MBB 331, all with a minimum grade of C-, or permission of the instructor.","['Spring 2025', 'Summer 2024']"
HSCI,477,"HSCI 326 or MBB 326 or HSCI 338, with a minimum grade or C- or permission of the instructor.",['Fall 2024']
HSCI,478,"MBB 331 or HSCI 326 or MBB 326, with a minimum grade of C, or HSCI 338 with a minimum grade of C-.",['Fall 2024']
HSCI,481,"90 units, including at least 15 upper division HSCI units with a minimum grade of C-. Other prerequisites may vary according to topic.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
HSCI,482,"HSCI 326 or MBB 326 or HSCI 338, with a minimum grade of C-.","['Spring 2025', 'Spring 2024']"
HSCI,483,"90 units, including HSCI 204 and HSCI 230 (or 330), with a minimum grade of C-.","['Spring 2025', 'Summer 2024']"
HSCI,484,"90 units, including HSCI 230 (or 330) with a minimum grade of C- and either STAT 302 or STAT 305, with a minimum grade of C-.",['Summer 2024']
HSCI,485,"90 units, including at least 15 upper division HSCI units with a minimum grade of C-. Other prerequisites may vary according to topic.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
HSCI,486,"90 units, including at least 15 upper division HSCI units with a minimum grade of C-. Other prerequisites may vary according to topic.","['Summer 2025', 'Spring 2025', 'Fall 2024', 'Spring 2024']"
HSCI,488,,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
HSCI,489,,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
HSCI,490,,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
HSCI,491,HSCI 490 with a minimum grade of C-.,"['Summer 2025', 'Spring 2025', 'Fall 2024', 'Summer 2024', 'Spring 2024']"
