Department,Course Number,Prerequisites,Offerings,Parsed Prerequisites,Number of Offerings,Simple Prerequisites
FREN,425,"FREN 270 or 275 or LING 222, FREN 301W, and at least one 300-level group A (ling.) course.",Spring 2024,"(FREN270,FREN275,LING222,FREN301W)",1,"FREN270, FREN275, FREN301W, LING222"
FREN,430,"FREN 230 or 240 or 245, FREN 301W, and at least one 300-level group B (lit.) course.",Summer 2024,"(FREN230,FREN240,FREN245,FREN301W)",1,"FREN230, FREN240, FREN245, FREN301W"
FREN,440,"FREN 230 or 240 or 245, FREN 301W, and at least one 300-level group B (lit.) course.","Spring 2025, Spring 2024","(FREN230,FREN240,FREN245,FREN301W)",2,"FREN230, FREN240, FREN245, FREN301W"
FREN,442,"FREN 230 or 240 or 245, FREN 301W, and at least one 300-level group B (lit.) course.",Fall 2024,"(FREN230,FREN240,FREN245,FREN301W)",1,"FREN230, FREN240, FREN245, FREN301W"
FREN,444,"FREN 230 or 240 or 245, FREN 301W, and at least one 300-level group B (lit.) course.","Summer 2025, Spring 2024","(FREN230,FREN240,FREN245,FREN301W)",2,"FREN230, FREN240, FREN245, FREN301W"
FREN,452,"FREN 230 or 240 or 245, FREN 270 or 275 or LING 222, FREN 301W, and at least one 300-level group A (ling.) or group B (lit.) course.",Fall 2024,"(FREN230,FREN240,FREN245,FREN270,FREN275,LING222,FREN301W)",1,"FREN230, FREN240, FREN245, FREN270, FREN275, FREN301W, LING222"
FREN,455,"FREN 230 or 240 or 245, FREN 301W, and at least one 300-level group B (lit.) course",Spring 2025,"(FREN230,FREN240,FREN245,FREN301W)",1,"FREN230, FREN240, FREN245, FREN301W"
FREN,465,Two 300-level FREN courses.,Spring 2025,N/A,1,N/A
FREN,480,"FREN 301W and one of 230, 240, 245, 270 or 275 or LING 222. Corequisite: To be taken in conjunction with a 400-division course in French linguistics or literature.","Spring 2025, Spring 2024",N/A,2,N/A
FREN,491,N/A,Fall 2024,N/A,1,N/A
GA,101,N/A,"Spring 2025, Fall 2024, Spring 2024",N/A,3,N/A
GA,202,15 units.,"Spring 2025, Summer 2024",N/A,2,N/A
GA,210,15 units.,Spring 2024,N/A,1,N/A
GA,211,15 units.,Fall 2024,N/A,1,N/A
GA,301,45 units.,Fall 2024,N/A,1,N/A
GA,302,45 units. Recommended: GA 101.,"Summer 2025, Fall 2024, Summer 2024",N/A,3,N/A
GA,303,45 units.,"Spring 2025, Spring 2024",N/A,2,N/A
GA,304,45 units. Recommended: GA 101.,Fall 2024,N/A,1,N/A
GA,333,45 units. Recommended: GA 101 or GA 211.,Spring 2025,N/A,1,N/A
GA,388,15 units.,Fall 2024,N/A,1,N/A
GA,400,45 units.,"Spring 2025, Spring 2024",N/A,2,N/A
GA,401,45 units.,Fall 2024,N/A,1,N/A
GEOG,104,N/A,"Summer 2025, Spring 2025, Fall 2024, Summer 2024, Spring 2024",N/A,5,N/A
GEOG,111,N/A,"Spring 2025, Fall 2024, Spring 2024",N/A,3,N/A
GEOG,150,N/A,"Summer 2025, Spring 2025, Fall 2024, Summer 2024",N/A,4,N/A
GEOG,161,N/A,"Spring 2025, Spring 2024",N/A,2,N/A
GEOG,162,N/A,Fall 2024,N/A,1,N/A
GEOG,213,GEOG 111 or EASC 101.,"Fall 2024, Spring 2024","(GEOG111,EASC101)",2,"EASC101, GEOG111"
GEOG,214,GEOG 111.,"Fall 2024, Spring 2024",(GEOG111),2,GEOG111
GEOG,215,GEOG 111.,"Spring 2025, Spring 2024",(GEOG111),2,GEOG111
GEOG,221,GEOG 100.,"Spring 2025, Fall 2024, Spring 2024",(GEOG100),3,GEOG100
GEOG,241,"One of GEOG 100, INDG 101, SA 101, or SA 150.","Spring 2025, Spring 2024","(GEOG100,INDG101,SA101,SA150)",2,"GEOG100, INDG101, SA101, SA150"
GEOG,251,N/A,"Spring 2025, Fall 2024, Spring 2024",N/A,3,N/A
GEOG,253,N/A,"Fall 2024, Spring 2024",N/A,2,N/A
GEOG,255,N/A,"Spring 2025, Fall 2024, Summer 2024, Spring 2024",N/A,4,N/A
GEOG,261,GEOG 100 or 102.,Spring 2025,"(GEOG100,GEOG102)",1,"GEOG100, GEOG102"
GEOG,267,"Three GEOG courses including at least one of the following: GEOG 100, GEOG 104, or GEOG 162. Recommended: INDG 101 and INDG 286.",Spring 2025,"(GEOG100,GEOG104,GEOG162,INDG101,INDG286)",1,"GEOG100, GEOG104, GEOG162, INDG101, INDG286"
GEOG,302,N/A,"Fall 2024, Summer 2024, Spring 2024",N/A,3,N/A
GEOG,303,N/A,"Fall 2024, Summer 2024, Spring 2024",N/A,3,N/A
GEOG,304,GEOG 111 and GEOG 100; 45 units.,Summer 2024,"(GEOG111,GEOG100)",1,"GEOG100, GEOG111"
GEOG,310,"GEOG 213 and one of GEOG 214 or 215. Prerequisite or Corequisite: One of GEOG 311, 313, 314, 315, 316, 317 or 319.","Spring 2025, Summer 2024","(GEOG213,GEOG214,GEOG215,GEOG311,GEOG313,GEOG314,GEOG315,GEOG316,GEOG317,GEOG319)",2,"GEOG213, GEOG214, GEOG215, GEOG311, GEOG313, GEOG314, GEOG315, GEOG316, GEOG317, GEOG319"
GEOG,311,"GEOG 213 or 214; GEOG 251 or one of STAT 201, 203 (formerly 103), 205, or 270.",Fall 2024,"(GEOG213,GEOG214,GEOG251,STAT201,STAT203,STAT205,STAT270)",1,"GEOG213, GEOG214, GEOG251, STAT201, STAT203, STAT205, STAT270"
GEOG,312,"One of GEOG 100, 104 or 111 or one of EASC 101 or 104.","Summer 2025, Fall 2024, Summer 2024","(GEOG100,GEOG104,GEOG111,EASC101,EASC104)",3,"EASC101, EASC104, GEOG100, GEOG104, GEOG111"
GEOG,313,"GEOG 213, or both EASC 209W and EASC 304.","Spring 2025, Spring 2024","(GEOG213,EASC209W,EASC304)",2,"EASC209W, EASC304, GEOG213"
GEOG,314,GEOG 214.,Fall 2024,(GEOG214),1,GEOG214
GEOG,315,GEOG 215 or BISC 204.,Spring 2024,"(GEOG215),(BISC204)",1,"BISC204, GEOG215"
GEOG,316,GEOG 215 or BISC 204 or permission of the instructor.,Spring 2024,"(GEOG215),(BISC204)",1,"BISC204, GEOG215"
GEOG,317,"One of GEOG 213, 214, 215, or CHEM 121.",Spring 2025,"(GEOG213,GEOG214,GEOG215,CHEM121)",1,"CHEM121, GEOG213, GEOG214, GEOG215"
GEOG,321,"At least 45 units, including GEOG 100.",Fall 2024,(GEOG100),1,GEOG100
GEOG,324,"At least 45 units, including GEOG 100.","Spring 2025, Spring 2024",(GEOG100),2,GEOG100
GEOG,327,"At least 45 units, including GEOG 100 or REM 100.",Spring 2025,"(GEOG100,REM100)",1,"GEOG100, REM100"
GEOG,328,"At least 45 units, including GEOG 100 or LBST 101.",Spring 2025,"(GEOG100,LBST101)",1,"GEOG100, LBST101"
GEOG,333,A minimum of 45 units.,"Spring 2025, Spring 2024",N/A,2,N/A
GEOG,340,"At least 45 units, including GEOG 100 or GSWS 100 or GSWS 101 or GSWS 102 or INDG 101 or SA 101 or HSCI 120 or CMNS 130.",Fall 2024,"(GEOG100,GSWS100,GSWS101,GSWS102,INDG101,SA101,HSCI120,CMNS130)",1,"CMNS130, GEOG100, GSWS100, GSWS101, GSWS102, HSCI120, INDG101, SA101"
GEOG,351,GEOG 255.,Fall 2024,(GEOG255),1,GEOG255
GEOG,352,"GEOG 251 or one of STAT 201, 203 (formerly 103), 205, or 270.","Spring 2025, Spring 2024","(GEOG251,STAT201,STAT203,STAT205,STAT270)",2,"GEOG251, STAT201, STAT203, STAT205, STAT270"
GEOG,353,GEOG 253.,"Spring 2025, Spring 2024",(GEOG253),2,GEOG253
GEOG,355,GEOG 255.,"Fall 2024, Spring 2024",(GEOG255),2,GEOG255
GEOG,363,"At least 45 units, including GEOG 100.","Summer 2025, Summer 2024",(GEOG100),2,GEOG100
GEOG,364,"At least 45 units, including GEOG 100.",Fall 2024,(GEOG100),1,GEOG100
GEOG,385,"At least 45 units, including GEOG 100 or REM 100.",Fall 2024,"(GEOG100,REM100)",1,"GEOG100, REM100"
GEOG,402,N/A,"Fall 2024, Summer 2024, Spring 2024",N/A,3,N/A
GEOG,403,N/A,"Fall 2024, Summer 2024, Spring 2024",N/A,3,N/A
GEOG,404,"Permission to enter directed readings courses requires written consent of both the faculty member willing to supervise the research, and the chair of the department.","Summer 2025, Spring 2025, Fall 2024, Summer 2024, Spring 2024",N/A,5,N/A
GEOG,405,"Permission to enter directed readings courses requires written consent of both the faculty member willing to supervise the research, and the chair of the department.","Summer 2025, Spring 2025, Fall 2024, Summer 2024, Spring 2024",N/A,5,N/A
GEOG,409,GEOG 403 and readmission to the environment co-operative education program.,"Fall 2024, Summer 2024, Spring 2024",(GEOG403),3,GEOG403
GEOG,414,GEOG 314.,"Spring 2025, Spring 2024",(GEOG314),2,GEOG314
GEOG,418,"One of GEOG 311, GEOG 314, GEOG 316, GEOG 317, EASC 304, or EASC 405; one of GEOG 251, STAT 201, STAT 203 (formerly STAT 103), STAT 205, or STAT 270.",Spring 2024,"(GEOG311,GEOG314,GEOG316,GEOG317,EASC304,EASC405,GEOG251,STAT201,STAT203,STAT205,STAT270)",1,"EASC304, EASC405, GEOG251, GEOG311, GEOG314, GEOG316, GEOG317, STAT201, STAT203, STAT205, STAT270"
GEOG,432,60 units including eight of upper division geography.,Summer 2025,N/A,1,N/A
GEOG,441,"At least 45 units, including either GEOG 100 or GEOG 161.",Fall 2024,"(GEOG100,GEOG161)",1,"GEOG100, GEOG161"
GEOG,451,"GEOG 251 or one of STAT 201, 203 (formerly 103), 205, or 270; one of GEOG 351, 352, 353, 355 or 356.",Fall 2024,"(GEOG251,STAT201,STAT203,STAT205,STAT270,GEOG351,GEOG352,GEOG353,GEOG355,GEOG356)",1,"GEOG251, GEOG351, GEOG352, GEOG353, GEOG355, GEOG356, STAT201, STAT203, STAT205, STAT270"
GEOG,457,GEOG 356.,Spring 2024,(GEOG356),1,GEOG356
GEOG,465,"At least 60 units, including GEOG 241.","Spring 2025, Spring 2024",(GEOG241),2,GEOG241
GEOG,491,105 units and consent of supervisor. See a departmental academic advisor for details.,"Summer 2025, Spring 2025, Fall 2024, Summer 2024, Spring 2024",N/A,5,N/A
GERM,110,GERM 100 (or GERM 102) or equivalent.,"Spring 2025, Fall 2024, Spring 2024","(GERM100),(GERM102)",3,"GERM100, GERM102"
GERM,200,GERM 110 (or GERM 103) or equivalent.,Fall 2024,"(GERM110),(GERM103)",1,"GERM103, GERM110"
GERM,210,GERM 200 (or GERM 201) or equivalent.,"Spring 2025, Spring 2024","(GERM200),(GERM201)",2,"GERM200, GERM201"
GERM,300,GERM 202 or consent of the instructor.,"Summer 2025, Fall 2024",(GERM202),2,GERM202
GERO,101,N/A,"Summer 2025, Spring 2025, Summer 2024, Spring 2024",N/A,4,N/A
GERO,300,60 units.,"Summer 2025, Spring 2025, Fall 2024, Summer 2024, Spring 2024",N/A,5,N/A
GERO,301,60 units.,Fall 2024,N/A,1,N/A
GERO,302,60 units. Recommended: GERO 300.,Spring 2025,N/A,1,N/A
GERO,404,60 units. Recommended: GERO 300.,"Fall 2024, Spring 2024",N/A,2,N/A
GERO,408,60 units. Recommended: GERO 300.,"Spring 2025, Spring 2024",N/A,2,N/A
GERO,410,60 units. Recommended: GERO 300.,"Spring 2025, Summer 2024",N/A,2,N/A
GERO,411,60 units. Recommended: GERO 300.,"Fall 2024, Summer 2024",N/A,2,N/A
GERO,412,60 units. Recommended: GERO 300.,Summer 2025,N/A,1,N/A
GERO,413,Recommended: GERO 101 or 300.,Spring 2024,"(GERO101),(GERO300)",1,"GERO101, GERO300"
GERO,420,60 units. Recommended: GERO 300.,"Spring 2025, Fall 2024",N/A,2,N/A
GRK,111,GRK 100 (or GRK 191) or equivalent.,"Spring 2025, Fall 2024","(GRK100),(GRK191)",2,"GRK100, GRK191"
GRK,200,GRK 111 (or GRK 192) or equivalent.,"Spring 2025, Fall 2024","(GRK111),(GRK192)",2,"GRK111, GRK192"
GRK,211,GRK 200 (or GRK 291) or equivalent.,"Spring 2025, Fall 2024","(GRK200),(GRK291)",2,"GRK200, GRK291"
GSWS,101,N/A,"Summer 2025, Spring 2025, Fall 2024, Summer 2024",N/A,4,N/A
GSWS,102,N/A,Fall 2024,N/A,1,N/A
GSWS,103,N/A,Spring 2025,N/A,1,N/A
GSWS,200,N/A,"Fall 2024, Summer 2024",N/A,2,N/A
GSWS,204,N/A,"Spring 2025, Spring 2024",N/A,2,N/A
GSWS,205,N/A,Summer 2024,N/A,1,N/A
GSWS,212,N/A,"Spring 2025, Spring 2024",N/A,2,N/A
GSWS,215,N/A,Spring 2024,N/A,1,N/A
GSWS,216,N/A,Summer 2024,N/A,1,N/A
GSWS,305,30 units including three units in GSWS or WS or GDST or LBST.,Fall 2024,N/A,1,N/A
GSWS,306,30 units including three units in GSWS or WS or GDST.,"Summer 2025, Fall 2024",N/A,2,N/A
GSWS,312,15 units.,"Spring 2025, Spring 2024",N/A,2,N/A
GSWS,314,15 units.,Spring 2025,N/A,1,N/A
GSWS,315,15 units.,"Fall 2024, Spring 2024",N/A,2,N/A
GSWS,316,30 units.,Fall 2024,N/A,1,N/A
GSWS,318,"30 units, including three units in GSWS.","Spring 2025, Summer 2024",N/A,2,N/A
GSWS,319,30 units including three units in GSWS or WS or GDST.,"Spring 2025, Fall 2024",N/A,2,N/A
GSWS,320,15 units.,"Spring 2025, Fall 2024, Spring 2024",N/A,3,N/A
GSWS,321,15 units.,"Spring 2025, Spring 2024",N/A,2,N/A
GSWS,331,"30 units, including three unist in GSWS. Students who have taken GDST 301, or WS 301 Special Topics: Theorizing Queer Genders may not take this course for further credit.",Spring 2024,N/A,1,N/A
GSWS,332,15 units.,Fall 2024,N/A,1,N/A
GSWS,333,30 units including three units in GSWS or WS or GDST.,"Summer 2025, Summer 2024",N/A,2,N/A
GSWS,341,"45 units, including six units of lower division history.",Spring 2024,N/A,1,N/A
GSWS,388,15 units.,Fall 2024,N/A,1,N/A
GSWS,399,30 units.,Summer 2024,N/A,1,N/A
GSWS,401,Nine units in GSWS including GSWS 101 (or WS 101) and/or GSWS 102 (or WS 102) and approval of the course proposal by the department.,"Spring 2025, Fall 2024, Summer 2024, Spring 2024","(GSWS101,WS101,GSWS102,WS102)",4,"GSWS101, GSWS102, WS101, WS102"
GSWS,402,Nine units in GSWS including GSWS 101 (or WS 101) and/or GSWS 102 (or WS 102) and approval of course proposal by Dept.,"Spring 2025, Fall 2024, Summer 2024, Spring 2024","(GSWS101,WS101,GSWS102,WS102)",4,"GSWS101, GSWS102, WS101, WS102"
GSWS,403,nine units in GSWS including GSWS 101 (or WS 101) or GSWS 102 (or WS 102) and approval of course proposal by Dept.,"Spring 2025, Fall 2024, Summer 2024, Spring 2024","(GSWS101,WS101,GSWS102,WS102)",4,"GSWS101, GSWS102, WS101, WS102"
GSWS,411,"45 units, including six units in GSWS.","Summer 2025, Spring 2025, Summer 2024",N/A,3,N/A
GSWS,414,"45 units, including 6 units in GSWS.",Fall 2024,N/A,1,N/A
GSWS,416,"45 units, including six units in GSWS.",Fall 2024,N/A,1,N/A
GSWS,431,45 units including six units in GSWS or CA.,Spring 2024,N/A,1,N/A
GSWS,433,"45 units, including six units in GSWS or WS or GDST.","Spring 2025, Spring 2024",N/A,2,N/A
HIST,101,N/A,Fall 2024,N/A,1,N/A
HIST,104,N/A,"Spring 2025, Spring 2024",N/A,2,N/A
HIST,106,N/A,"Fall 2024, Spring 2024",N/A,2,N/A
HIST,111,N/A,"Spring 2025, Summer 2024",N/A,2,N/A
HIST,130,N/A,"Spring 2025, Fall 2024",N/A,2,N/A
HIST,132,N/A,"Fall 2024, Spring 2024",N/A,2,N/A
HIST,135,N/A,"Summer 2025, Fall 2024",N/A,2,N/A
HIST,151,N/A,"Spring 2025, Fall 2024, Spring 2024",N/A,3,N/A
HIST,185,N/A,Summer 2024,N/A,1,N/A
HIST,200,N/A,"Fall 2024, Summer 2024, Spring 2024",N/A,3,N/A
HIST,204,Recommended: HIST 101 and 102W.,Spring 2024,"(HIST101,HIST102W)",1,"HIST101, HIST102W"
HIST,206,N/A,"Spring 2025, Spring 2024",N/A,2,N/A
HIST,212,Recommended: HIST 104.,Fall 2024,(HIST104),1,HIST104
HIST,213,Recommended: HIST 212.,Spring 2025,(HIST212),1,HIST212
HIST,215,N/A,"Spring 2025, Spring 2024",N/A,2,N/A
HIST,220,N/A,Summer 2025,N/A,1,N/A
HIST,223,N/A,Spring 2024,N/A,1,N/A
HIST,224,N/A,"Summer 2025, Fall 2024",N/A,2,N/A
HIST,225,N/A,"Spring 2025, Spring 2024",N/A,2,N/A
HIST,236,N/A,Summer 2024,N/A,1,N/A
HIST,243,N/A,Spring 2024,N/A,1,N/A
HIST,252,N/A,Summer 2025,N/A,1,N/A
HIST,254,N/A,Fall 2024,N/A,1,N/A
HIST,255,N/A,"Spring 2025, Spring 2024",N/A,2,N/A
HIST,276,N/A,Fall 2024,N/A,1,N/A
HIST,288,N/A,Spring 2025,N/A,1,N/A
HIST,300,"45 units, including six units of lower division history.",Fall 2024,N/A,1,N/A
HIST,315,"45 units, including six units of lower division history.","Summer 2025, Summer 2024",N/A,2,N/A
HIST,320,"45 units, including six units of lower division history. Strongly recommended: HIST 220 or 223.",Spring 2024,"(HIST220,HIST223)",1,"HIST220, HIST223"
HIST,325,"45 units, including six units of lower division history.",Fall 2024,N/A,1,N/A
HIST,326,"45 units, including six units of lower division history.","Spring 2025, Spring 2024",N/A,2,N/A
HIST,332,"45 units, including six units of lower division history.",Fall 2024,N/A,1,N/A
HIST,334,"45 units, including six units of lower division history. Recommended: HIST 106.",Fall 2024,(HIST106),1,HIST106
HIST,335,"45 units, including six units of lower division history.",Spring 2025,N/A,1,N/A
HIST,336,"45 units, including six units of lower division history. Recommended: HIST 223 or 224.",Spring 2025,"(HIST223,HIST224)",1,"HIST223, HIST224"
HIST,338,"45 units, including six units of lower division history. Recommended: HIST 225.","Spring 2025, Fall 2024, Summer 2024, Spring 2024",(HIST225),4,HIST225
HIST,341,"45 units, including six units of lower division history.",Spring 2024,N/A,1,N/A
HIST,344,"45 units, including six units of lower division history.",Summer 2024,N/A,1,N/A
HIST,354,"45 units, including six units of lower division history. Recommended: one of HIST 151, 249.",Spring 2024,"(HIST151,HIST249)",1,"HIST151, HIST249"
HIST,355,"45 units, including six units of lower division history. Recommended: one of HIST 151, 249.",Spring 2024,"(HIST151,HIST249)",1,"HIST151, HIST249"
HIST,358,"45 units, including six units of lower division history.",Summer 2025,N/A,1,N/A
HIST,359,45 units.,Spring 2025,N/A,1,N/A
HIST,371,"45 units, including six units of lower division history. Recommended: at least one course on modern Japan.","Summer 2025, Summer 2024",N/A,2,N/A
HIST,372,"45 units, including six units of lower division history or enrollment in the Urban Studies Certificate program.",Spring 2025,N/A,1,N/A
HIST,376,"45 units, including six units of lower division history.",Spring 2024,N/A,1,N/A
HIST,382,45 units including 9 units of lower division History.,Fall 2024,N/A,1,N/A
HIST,390,"45 units, including six units of lower division history.",Spring 2025,N/A,1,N/A
HIST,400,Admission to the honours program in history.,Fall 2024,N/A,1,N/A
HIST,402,"45 units including nine units of lower division history and one of HIST 220, 223, HUM 219, 305, 311, 312W or permission of the department.",Spring 2024,"(HIST220,HIST223,HUM219,HUM305,HUM311,HUM312W)",1,"HIST220, HIST223, HUM219, HUM305, HUM311, HUM312W"
HIST,404,45 units including nine units of lower division history. Recommended: HIST 315.,"Spring 2025, Spring 2024",(HIST315),2,HIST315
HIST,420,45 units including nine units of lower division history.,Fall 2024,N/A,1,N/A
HIST,424,"45 units including nine units of lower division history. Recommended: HIST 101, 102W.",Spring 2025,"(HIST101,HIST102W)",1,"HIST101, HIST102W"
HIST,427,45 units including nine units of lower division history.,Fall 2024,N/A,1,N/A
HIST,428,"45 units including nine units of lower division history. Recommended: HIST 101, 102W.",Summer 2024,"(HIST101,HIST102W)",1,"HIST101, HIST102W"
HIST,430,"45 units, including nine units of lower division history or permission of the instructor. Recommended: HIST 101, 102W, 104.","Spring 2025, Spring 2024","(HIST101,HIST102W,HIST104)",2,"HIST101, HIST102W, HIST104"
HIST,432,45 units including nine units of lower division history.,Summer 2025,N/A,1,N/A
HIST,435,"45 units including nine units of lower division history, or permission of the department.",Fall 2024,N/A,1,N/A
HIST,436,45 units including nine units of lower division history. Recommended: HIST 101 and 102W.,Spring 2024,"(HIST101,HIST102W)",1,"HIST101, HIST102W"
HIST,440,"45 units, including nine units of lower division history.",Spring 2025,N/A,1,N/A
HIST,441,45 units.,Fall 2024,N/A,1,N/A
HIST,454,"45 units, including 9 units of lower-division HIST or 9 units of GSWS. Recommended: HIST 115.","Spring 2025, Spring 2024",(HIST115),2,HIST115
HIST,464,45 units including nine units of lower division history.,Fall 2024,N/A,1,N/A
HIST,467,"45 units including nine units of lower division history and one of HIST 151, 249, 350, 354, 355 or permission of the department.","Spring 2025, Spring 2024","(HIST151,HIST249,HIST350,HIST354,HIST355)",2,"HIST151, HIST249, HIST350, HIST354, HIST355"
HIST,476,"45 units, including six units of lower division history or by permission of instructor.",Spring 2025,N/A,1,N/A
HIST,485,45 units including nine units of lower division history.,"Summer 2024, Spring 2024",N/A,2,N/A
HIST,489,45 units including nine units of lower division history. Recommended: at least three upper division courses in history.,"Spring 2025, Fall 2024, Summer 2024, Spring 2024",N/A,4,N/A
HIST,490,45 units including nine units of lower division history. Recommended: at least three upper division courses in history.,"Summer 2024, Spring 2024",N/A,2,N/A
HIST,494,Admission to the honours program in history.,"Spring 2025, Spring 2024",N/A,2,N/A
HIST,498,Admission to the honours program in History.,"Spring 2025, Spring 2024",N/A,2,N/A
HSCI,120,N/A,"Spring 2025, Fall 2024, Spring 2024",N/A,3,N/A
HSCI,130,N/A,"Summer 2025, Spring 2025, Fall 2024, Summer 2024, Spring 2024",N/A,5,N/A
HSCI,160,N/A,"Spring 2025, Fall 2024, Spring 2024",N/A,3,N/A
HSCI,180,N/A,Spring 2024,N/A,1,N/A
HSCI,199,Will vary according to topic. Corequisite: Will vary according to topic.,"Summer 2025, Summer 2024",N/A,2,N/A
HSCI,204,"HSCI 100 or BISC 101, HSCI 130, all with a minimum grade of C-.","Spring 2025, Spring 2024","(HSCI100,HSCI130),(BISC101,HSCI130)",2,"BISC101, HSCI100, HSCI130"
HSCI,206,HSCI 130 with a minimum grade of C-.,"Spring 2025, Spring 2024",(HSCI130),2,HSCI130
HSCI,207,HSCI 130 with a minimum grade of C-. Corequisite: STAT 201 or 203 or 205.,"Spring 2025, Fall 2024, Spring 2024",(HSCI130),3,HSCI130
HSCI,211,"HSCI 100 or BISC 101, HSCI 130, all with a minimum grade of C-.","Spring 2025, Spring 2024","(HSCI100,HSCI130),(BISC101,HSCI130)",2,"BISC101, HSCI100, HSCI130"
HSCI,212,"HSCI 100 or BISC 101, HSCI 130, all with a minimum grade of C-.","Spring 2025, Spring 2024","(HSCI100,HSCI130),(BISC101,HSCI130)",2,"BISC101, HSCI100, HSCI130"
HSCI,214,"HSCI 100 or BISC 101, HSCI 130, all with a minimum grade of C-.",Fall 2024,"(HSCI100,HSCI130),(BISC101,HSCI130)",1,"BISC101, HSCI100, HSCI130"
HSCI,216,"HSCI 100 or BISC 101, with a minimum grade of C-.","Summer 2025, Fall 2024, Summer 2024","(HSCI100),(BISC101)",3,"BISC101, HSCI100"
HSCI,220,HSCI 130 with a minimum grade of C- or permission of the instructor.,"Spring 2025, Fall 2024, Spring 2024",(HSCI130),3,HSCI130
HSCI,230,"30 units, including HSCI 130 with a minimum grade of C-, or permission of the instructor.","Summer 2025, Spring 2025, Fall 2024, Summer 2024, Spring 2024",(HSCI130),5,HSCI130
HSCI,305,"60 units, including nine HSCI units with a minimum grade of C-.","Summer 2025, Spring 2025, Fall 2024, Summer 2024, Spring 2024",N/A,5,N/A
HSCI,308,45 units. Recommended: HSCI 130.,"Summer 2025, Summer 2024",N/A,2,N/A
HSCI,310,60 units including HSCI 130 with a minimum grade of C-.,"Spring 2025, Spring 2024",(HSCI130),2,HSCI130
HSCI,312,"60 units, including either HSCI 130 or BPK 140, with a minimum grade of C-.","Summer 2025, Spring 2025, Fall 2024, Spring 2024","(HSCI130),(BPK140)",4,"BPK140, HSCI130"
HSCI,321,MBB 231 with a minimum grade of C- or permission of the instructor.,"Spring 2025, Spring 2024",(MBB231),2,MBB231
HSCI,323,"MBB 231, CHEM 282, both with a minimum grade of C-.",Fall 2024,"(MBB231,CHEM282)",1,"CHEM282, MBB231"
HSCI,324,BISC 202 with a minimum grade of C-.,"Spring 2025, Fall 2024, Spring 2024",(BISC202),3,BISC202
HSCI,326,MBB 231 with a minimum grade of C-.,"Summer 2025, Spring 2025, Fall 2024, Summer 2024, Spring 2024",(MBB231),5,MBB231
HSCI,333,"60 units and completion of one of: HSCI 100, BISC 100, BISC 101 or BISC 102, with a minimum grade of C-.","Spring 2025, Spring 2024","(HSCI100),(BISC100),(BISC101),(BISC102)",2,"BISC100, BISC101, BISC102, HSCI100"
HSCI,336,MBB 231 with a minimum grade of C-.,"Spring 2025, Fall 2024, Spring 2024",(MBB231),3,MBB231
HSCI,338,MBB 222 with a minimum grade of C- or permission of the instructor. Corequisite: BISC 303.,Fall 2024,(MBB222),1,MBB222
HSCI,340,"60 units and two HSCI 200-level courses with a minimum grade of C-, one of which may be taken concurrently.","Spring 2025, Fall 2024, Spring 2024",N/A,3,N/A
HSCI,341,"HSCI 230, and STAT 201 or 203 or 205, all with a minimum grade of C-.","Spring 2025, Fall 2024, Spring 2024","(HSCI230,STAT201),(HSCI230,STAT203),(HSCI230,STAT205)",3,"HSCI230, STAT201, STAT203, STAT205"
HSCI,345,45 units. HSCI 130 strongly recommended.,Spring 2025,N/A,1,N/A
HSCI,350,Students must be accepted into the health sciences co-op program.,"Summer 2025, Spring 2025, Fall 2024, Summer 2024, Spring 2024",N/A,5,N/A
HSCI,351,Completion of HSCI 350 Co-op Practicum I.,"Summer 2025, Spring 2025, Fall 2024, Summer 2024, Spring 2024",(HSCI350),5,HSCI350
HSCI,402,HSCI 214 with a minimum grade of C-.,"Fall 2024, Summer 2024",(HSCI214),2,HSCI214
HSCI,403,60 units including HSCI 230 (or 330) with a minimum grade of C-.,Spring 2025,"(HSCI230),(HSCI330)",1,"HSCI230, HSCI330"
HSCI,408,"90 units, including HSCI 230 (or 330) with a minimum grade of C-.","Spring 2025, Spring 2024","(HSCI230),(HSCI330)",2,"HSCI230, HSCI330"
HSCI,410,"STAT 302 or STAT 305, with a minimum grade of C-. Recommended: HSCI 230.","Spring 2025, Fall 2024, Spring 2024","(STAT302),(STAT305)",3,"STAT302, STAT305"
HSCI,412,"HSCI 312 and two HSCI 200-level courses, with a minimum grade of C-.","Spring 2025, Fall 2024",(HSCI312),2,HSCI312
HSCI,416,"STAT 302 or STAT 305, and HSCI 207 (or 307) or HSCI 230 (or 330), all with a minimum grade of C-.","Spring 2025, Fall 2024, Spring 2024","(STAT302,HSCI207),(STAT302,HSCI307),(STAT302,HSCI230),(STAT302,HSCI330),(STAT305,HSCI207),(STAT305,HSCI307),(STAT305,HSCI230),(STAT305,HSCI330)",3,"HSCI207, HSCI230, HSCI307, HSCI330, STAT302, STAT305"
HSCI,424,"A minimum of 60 units and HSCI 230 (or 330) with a minimum grade of C- and one of STAT 302 or STAT 305, with a minimum grade of C-.",Fall 2024,"(HSCI230,STAT302),(HSCI230,STAT305),(HSCI330,STAT302),(HSCI330,STAT305)",1,"HSCI230, HSCI330, STAT302, STAT305"
HSCI,427,"MBB 326 or HSCI 326, with a minimum grade of C, or permission of the instructor.","Spring 2025, Spring 2024","(MBB326),(HSCI326)",2,"HSCI326, MBB326"
